24 1;0.2213,0.515,-8.276
60 0;0.1915,0.738,-4.093
34 62 1;0.0596,0.875,-10.095
49 0;0.0894,0.840,-4.528
20 59 1;0.0383,0.692,-3.878
31 0;0.1106,0.788,-3.861
22 0;0.2596,0.709,-3.989
15 0;0.4000,0.718,-8.093
6 34 22 0;0.0511,0.923,-4.211
46 1;0.1447,0.507,-4.578
34 21 53 1;0.0383,0.750,-4.669
20 53 1;0.0723,0.586,-4.211
20 34 69 1;0.0255,0.857,-4.296
20 46 1;0.0723,0.630,-5.244
21 1;0.0638,0.577,-3.600
20 34 1;0.1106,0.531,-4.289
62 1;0.0681,0.800,-9.304
20 69 1;0.0298,0.778,-4.049
1 1;0.3064,0.791,-57.129
64 0;0.1447,0.944,-13.211
37 4 1;0.1064,0.806,-14.991
49 0;0.0894,0.840,-4.528
78 4 0;0.1319,0.939,-11.651
60 0;0.1915,0.738,-4.093
78 0;0.1447,0.919,-11.476
15 0;0.4000,0.718,-8.093
19 49 0;0.0681,0.941,-6.037
42 19 4 1;0.0511,0.857,-8.268
31 4 0;0.1106,0.812,-4.601
41 60 0;0.0468,1.000,-5.463
46 19 43 1;0.0255,1.000,-5.864
4 24 1;0.2085,0.538,-9.344
42 19 1;0.0553,0.812,-7.889
41 4 0;0.0894,0.875,-5.550
53 20 1;0.0723,0.586,-4.211
41 19 0;0.0766,0.900,-5.495
8 4 1;0.1617,0.463,-3.136
0 0;0.5277,0.873,-54.379
28 4 1;0.1447,0.576,-7.788
28 1;0.1532,0.554,-7.133
34 77 0;0.0851,0.800,-3.364
12 4 1;0.0936,0.611,-6.085
34 61 57 1;0.0298,0.875,-5.171
34 12 1;0.0851,0.645,-6.554
19 42 4 1;0.0511,0.857,-8.268
8 34 19 4 1;0.0979,0.511,-3.289
42 4 1;0.0723,0.739,-8.114
34 19 61 4 1;0.0340,0.800,-4.845
34 10 4 1;0.0553,0.565,-3.009
26 0;0.2383,0.800,-9.171
48 4 0;0.1830,0.843,-9.331
19 42 1;0.0553,0.812,-7.889
80 19 10 77 1;0.0170,1.000,-3.881
15 0;0.4000,0.718,-8.093
34 10 57 1;0.0213,0.833,-3.445
61 57 1;0.0340,0.800,-4.845
34 61 4 1;0.0426,0.714,-4.574
55 0;0.1191,0.903,-8.601
62 1;0.0681,0.800,-9.304
59 76 1;0.0340,0.889,-6.068
40 0;0.1234,0.829,-5.675
45 0;0.2043,0.800,-7.696
12 1;0.0936,0.595,-5.567
42 1;0.0766,0.692,-7.225
72 1;0.0468,0.846,-7.381
76 1;0.0851,0.606,-5.416
20 61 1;0.0298,0.875,-5.171
41 0;0.0979,0.852,-5.285
20 1;0.1277,0.492,-3.479
45 1;0.0511,0.200,-693.147
59 20 1;0.0383,0.692,-3.878
61 1;0.0511,0.667,-4.515
76 47 1;0.0383,0.818,-5.667
1 1;0.3064,0.791,-57.129
64 0;0.1447,0.944,-13.211
62 1;0.0681,0.800,-9.304
56 2 0;0.1574,0.860,-8.897
54 60 0;0.0511,1.000,-5.976
51 22 0;0.1319,0.795,-4.765
78 0;0.1447,0.919,-11.476
2 15 0;0.3617,0.739,-8.972
54 22 0;0.0638,0.938,-5.571
78 2 0;0.1362,0.941,-12.165
54 0;0.1064,0.833,-5.093
56 2 15 0;0.1191,0.933,-10.140
2 60 0;0.1872,0.746,-4.349
2 31 0;0.1106,0.812,-4.601
22 0;0.2596,0.709,-3.989
15 0;0.4000,0.718,-8.093
17 1;0.0596,0.609,-4.006
20 53 1;0.0723,0.586,-4.211
60 0;0.1915,0.738,-4.093
21 53 1;0.0426,0.714,-4.574
20 1;0.1277,0.492,-3.479
51 30 0;0.0766,0.818,-3.462
62 1;0.0681,0.800,-9.304
20 1;0.1277,0.492,-3.479
54 0;0.1064,0.833,-5.093
54 22 0;0.0638,0.938,-5.571
51 19 22 0;0.1064,0.833,-5.093
15 0;0.4000,0.718,-8.093
19 22 57 0;0.0383,1.000,-4.444
51 19 57 0;0.0468,0.917,-3.773
19 41 0;0.0766,0.900,-5.495
42 19 1;0.0553,0.812,-7.889
19 22 0;0.1915,0.738,-4.093
42 1;0.0766,0.692,-7.225
20 61 1;0.0298,0.875,-5.171
22 0;0.2596,0.709,-3.989
41 0;0.0979,0.852,-5.285
19 35 0;0.1574,0.725,-3.015
51 57 0;0.0511,0.857,-3.061
51 22 0;0.1319,0.795,-4.765
57 61 1;0.0340,0.800,-4.845
1 1;0.3064,0.791,-57.129
78 4 0;0.1319,0.939,-11.651
0 0;0.5277,0.873,-54.379
62 4 1;0.0681,0.842,-10.527
40 4 0;0.1191,0.875,-7.322
78 0;0.1447,0.919,-11.476
15 56 4 0;0.1106,0.929,-9.162
72 1;0.0468,0.846,-7.381
15 0;0.4000,0.718,-8.093
4 24 1;0.2085,0.538,-9.344
39 21 1;0.0255,0.857,-4.296
21 47 1;0.0255,1.000,-5.864
56 0;0.1617,0.826,-7.289
61 4 1;0.0468,0.688,-4.528
56 4 0;0.1489,0.854,-8.045
60 0;0.1915,0.738,-4.093
47 2 8 1;0.0426,0.714,-4.574
55 0;0.1191,0.903,-8.601
28 1;0.1532,0.554,-7.133
8 46 1;0.0936,0.595,-5.567
54 0;0.1064,0.833,-5.093
12 8 46 1;0.0383,0.818,-5.667
26 2 0;0.2213,0.812,-9.274
42 1;0.0766,0.692,-7.225
12 1;0.0936,0.595,-5.567
72 1;0.0468,0.846,-7.381
57 47 1;0.0340,0.889,-6.068
2 31 0;0.1106,0.812,-4.601
26 0;0.2383,0.800,-9.171
41 2 0;0.0936,0.880,-5.964
46 1;0.1447,0.507,-4.578
41 0;0.0979,0.852,-5.285
57 39 2 1;0.0213,0.833,-3.445
1 1;0.3064,0.791,-57.129
19 40 51 0;0.0596,1.000,-7.013
26 0;0.2383,0.800,-9.171
64 0;0.1447,0.944,-13.211
78 0;0.1447,0.919,-11.476
60 0;0.1915,0.738,-4.093
15 0;0.4000,0.718,-8.093
8 12 46 1;0.0383,0.818,-5.667
42 19 1;0.0553,0.812,-7.889
71 51 60 0;0.0681,0.889,-4.648
63 1;0.0340,0.889,-6.068
40 0;0.1234,0.829,-5.675
19 40 0;0.1021,0.857,-5.676
71 40 0;0.0809,0.905,-5.929
19 46 20 1;0.0553,0.722,-5.944
15 71 0;0.2851,0.770,-8.833
42 1;0.0766,0.692,-7.225
34 47 1;0.0851,0.556,-4.041
19 6 51 0;0.0553,1.000,-6.493
71 6 51 0;0.0553,0.929,-4.657
34 12 1;0.0851,0.645,-6.554
53 71 20 1;0.0681,0.667,-5.836
19 71 6 0;0.0766,0.818,-3.462
71 40 51 0;0.0511,1.000,-5.976
71 30 80 0;0.0468,0.917,-3.773
59 34 8 1;0.0340,0.800,-4.845
70 49 0;0.0681,0.941,-6.037
54 0;0.1064,0.833,-5.093
71 31 0;0.0723,0.895,-5.067
65 0;0.2170,0.785,-7.256
48 0;0.1957,0.821,-8.635
49 0;0.0894,0.840,-4.528
37 1;0.1106,0.788,-14.742
28 1;0.1532,0.554,-7.133
72 1;0.0468,0.846,-7.381
31 0;0.1106,0.788,-3.861
34 61 1;0.0468,0.688,-4.528
70 31 0;0.0979,0.821,-4.373
71 30 80 34 0;0.0383,1.000,-4.444
24 1;0.2213,0.515,-8.276
2 78 0;0.1362,0.941,-12.165
53 14 28 1;0.0596,0.824,-8.750
55 0;0.1191,0.903,-8.601
28 1;0.1532,0.554,-7.133
2 60 0;0.1872,0.746,-4.349
22 0;0.2596,0.709,-3.989
78 0;0.1447,0.919,-11.476
15 2 0;0.3617,0.739,-8.972
46 1;0.1447,0.507,-4.578
2 26 0;0.2213,0.812,-9.274
46 69 2 1;0.0298,0.875,-5.171
42 1;0.0766,0.692,-7.225
48 2 0;0.1872,0.846,-9.762
63 1;0.0340,0.889,-6.068
31 2 0;0.1106,0.812,-4.601
26 0;0.2383,0.800,-9.171
41 60 0;0.0468,1.000,-5.463
53 14 1;0.0809,0.613,-5.351
60 0;0.1915,0.738,-4.093
14 1;0.1106,0.553,-5.056
15 0;0.4000,0.718,-8.093
41 2 0;0.0936,0.880,-5.964
14 28 1;0.0681,0.727,-7.345
48 0;0.1957,0.821,-8.635
41 0;0.0979,0.852,-5.285
44 8 30 1;0.0255,0.750,-3.284
30 51 0;0.0766,0.818,-3.462
44 8 34 1;0.0766,0.545,-3.460
26 0;0.2383,0.800,-9.171
8 46 1;0.0936,0.595,-5.567
60 0;0.1915,0.738,-4.093
31 0;0.1106,0.788,-3.861
77 46 34 0;0.0298,1.000,-3.437
41 0;0.0979,0.852,-5.285
8 46 12 1;0.0383,0.818,-5.667
42 1;0.0766,0.692,-7.225
34 12 1;0.0851,0.645,-6.554
22 51 0;0.1319,0.795,-4.765
63 1;0.0340,0.889,-6.068
77 34 0;0.0851,0.800,-3.364
44 46 69 1;0.0255,1.000,-5.864
22 0;0.2596,0.709,-3.989
41 60 0;0.0468,1.000,-5.463
22 77 34 0;0.0511,0.923,-4.211
8 21 51 1;0.0213,1.000,-4.869
46 1;0.1447,0.507,-4.578
21 1;0.0638,0.577,-3.600
8 21 1;0.0255,0.857,-4.296
1 1;0.3064,0.791,-57.129
51 70 6 0;0.0511,1.000,-5.976
0 0;0.5277,0.873,-54.379
62 4 1;0.0681,0.842,-10.527
70 78 4 0;0.1191,1.000,-14.634
51 22 70 0;0.1106,0.839,-5.466
70 78 0;0.1319,0.969,-13.671
51 22 6 0;0.0426,1.000,-4.952
48 51 0;0.1106,0.963,-11.003
8 22 38 4 1;0.0170,1.000,-3.881
15 4 56 0;0.1106,0.929,-9.162
48 70 4 0;0.1532,0.878,-9.630
63 1;0.0340,0.889,-6.068
10 71 38 0;0.0426,0.909,-3.342
71 22 6 0;0.0596,0.933,-5.111
14 47 1;0.0383,0.900,-6.983
14 71 4 1;0.0851,0.645,-6.554
78 4 0;0.1319,0.939,-11.651
42 4 1;0.0723,0.739,-8.114
8 4 1;0.1617,0.463,-3.136
15 71 4 0;0.2383,0.812,-10.043
4 56 0;0.1489,0.854,-8.045
15 0;0.4000,0.718,-8.093
22 0;0.2596,0.709,-3.989
64 0;0.1447,0.944,-13.211
20 59 8 1;0.0298,0.875,-5.171
26 2 0;0.2213,0.812,-9.274
78 2 0;0.1362,0.941,-12.165
2 60 0;0.1872,0.746,-4.349
78 0;0.1447,0.919,-11.476
12 1;0.0936,0.595,-5.567
14 1;0.1106,0.553,-5.056
31 2 0;0.1106,0.812,-4.601
62 1;0.0681,0.800,-9.304
20 19 2 8 1;0.0638,0.577,-3.600
20 1;0.1277,0.492,-3.479
26 0;0.2383,0.800,-9.171
60 0;0.1915,0.738,-4.093
35 19 2 0;0.1489,0.745,-3.485
59 8 1;0.0383,0.750,-4.669
20 59 1;0.0383,0.692,-3.878
8 47 4 1;0.0426,0.714,-4.574
60 71 4 0;0.1234,0.806,-4.844
59 20 8 1;0.0298,0.875,-5.171
60 0;0.1915,0.738,-4.093
59 76 1;0.0340,0.889,-6.068
57 71 80 0;0.0468,0.917,-3.773
8 4 1;0.1617,0.463,-3.136
37 4 1;0.1064,0.806,-14.991
47 4 1;0.0979,0.511,-3.289
72 1;0.0468,0.846,-7.381
76 1;0.0851,0.606,-5.416
57 47 1;0.0340,0.889,-6.068
69 20 8 1;0.0213,1.000,-4.869
20 61 4 1;0.0255,1.000,-5.864
71 20 4 1;0.0936,0.564,-4.646
57 61 1;0.0340,0.800,-4.845
60 71 0;0.1277,0.789,-4.439
69 8 4 1;0.0255,0.857,-4.296
76 47 1;0.0383,0.818,-5.667
59 20 1;0.0383,0.692,-3.878
40 51 71 0;0.0511,1.000,-5.976
62 1;0.0681,0.800,-9.304
44 76 1;0.0638,0.833,-9.629
64 0;0.1447,0.944,-13.211
40 0;0.1234,0.829,-5.675
46 51 35 1;0.0213,1.000,-4.869
14 21 1;0.0340,0.889,-6.068
28 1;0.1532,0.554,-7.133
44 71 32 0;0.0426,0.909,-3.342
72 1;0.0468,0.846,-7.381
42 1;0.0766,0.692,-7.225
51 6 0;0.0638,0.882,-4.237
40 71 0;0.0809,0.905,-5.929
46 1;0.1447,0.507,-4.578
47 14 1;0.0383,0.900,-6.983
14 71 1;0.0894,0.618,-6.018
47 21 1;0.0255,1.000,-5.864
14 28 1;0.0681,0.727,-7.345
76 1;0.0851,0.606,-5.416
51 71 6 0;0.0553,0.929,-4.657
14 76 1;0.0383,0.818,-5.667
21 1;0.0638,0.577,-3.600
71 6 0;0.0894,0.778,-2.997
24 1;0.2213,0.515,-8.276
78 0;0.1447,0.919,-11.476
0 0;0.5277,0.873,-54.379
53 14 1;0.0809,0.613,-5.351
76 53 1;0.0553,0.722,-5.944
80 34 46 51 19 0;0.0298,1.000,-3.437
49 19 0;0.0681,0.941,-6.037
46 8 1;0.0936,0.595,-5.567
21 34 19 53 1;0.0255,1.000,-5.864
19 42 1;0.0553,0.812,-7.889
63 1;0.0340,0.889,-6.068
20 46 19 1;0.0553,0.722,-5.944
76 1;0.0851,0.606,-5.416
42 1;0.0766,0.692,-7.225
17 1;0.0596,0.609,-4.006
21 51 8 1;0.0213,1.000,-4.869
14 1;0.1106,0.553,-5.056
21 39 1;0.0255,0.857,-4.296
21 14 1;0.0340,0.889,-6.068
46 19 1;0.1021,0.558,-4.845
51 30 0;0.0766,0.818,-3.462
76 14 1;0.0383,0.818,-5.667
21 34 53 1;0.0383,0.750,-4.669
20 46 1;0.0723,0.630,-5.244
60 0;0.1915,0.738,-4.093
20 34 1;0.1106,0.531,-4.289
31 0;0.1106,0.788,-3.861
49 0;0.0894,0.840,-4.528
1 1;0.3064,0.791,-57.129
64 0;0.1447,0.944,-13.211
55 0;0.1191,0.903,-8.601
31 70 2 0;0.0979,0.852,-5.285
70 22 2 0;0.2000,0.746,-4.655
15 0;0.4000,0.718,-8.093
2 15 0;0.3617,0.739,-8.972
70 6 0;0.0766,0.818,-3.462
70 2 45 0;0.1702,0.851,-9.096
57 47 1;0.0340,0.889,-6.068
31 2 0;0.1106,0.812,-4.601
70 45 0;0.1787,0.840,-8.907
22 0;0.2596,0.709,-3.989
37 1;0.1106,0.788,-14.742
70 22 0;0.2043,0.738,-4.397
21 39 1;0.0255,0.857,-4.296
21 47 1;0.0255,1.000,-5.864
45 0;0.2043,0.800,-7.696
70 47 2 1;0.0809,0.543,-3.556
39 6 0;0.0426,0.909,-3.342
12 1;0.0936,0.595,-5.567
20 1;0.1277,0.492,-3.479
57 2 39 1;0.0213,0.833,-3.445
1 1;0.3064,0.791,-57.129
78 0;0.1447,0.919,-11.476
0 0;0.5277,0.873,-54.379
61 34 57 1;0.0298,0.875,-5.171
49 0;0.0894,0.840,-4.528
26 0;0.2383,0.800,-9.171
